Company_Name,Dependent-Company Status,year of founding,Age of company in years,Internet Activity Score,Short Description of company profile,Industry of company,Focus functions of company,Investors,Employee Count,Has the team size grown,Last Funding Date,Last Funding Amount,Country of company,Continent of company,Number of Investors in Seed,Number of Co-founders,Number of of advisors,Team size all employees,Number of  Sales Support material,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Focus on private or public data?,Local or global player,Machine Learning based business,Average Years of experience for founder and co founder,Highest education,Years of education,Specialization of highest education,Skills score,Employee benefits and salary structures,Company awards,Client Reputation,Number of Direct competitors,Last round of funding received (in milionUSD)
Company19,Success,2002,12,47,water management solutions,,Solution providing,Firelake Capital Management|RockPort Capital Partners|Chrysalis Ventures|Monitor Ventures|Shea Ventures,46,Yes,12/14/2012,750000,United States,North America,0,0,0,200,medium,Yes,No,No,Both,Public,local,Yes,High,Masters,21,economics,18.5,No Info,Yes,High,0,0.75
Company20,Success,2010,4,60,In-Store Mobile Commerce,Advertising|Retail|Mobile,"Marketing 
sales",Innovation Endeavors|Metamorphic Ventures|Motorola Solutions Venture Capital|Christian Dahlen,5,No,11/23/2012,749999,United States,North America,0,2,0,50,low,Yes,No,No,Product,Private,Local,No,High,Bachelors,18,Electrical Engineering,0,No Info,No,No Info,4,0.749999
Company21,Success,2010,4,70,Internet Company,Marketing,Marketing,,27,Yes,05/06/2011,5000000,United States,North America,0,2,0,26,medium,No,No,No,Both,Private,Global,Yes,High,Bachelors,18,Computer Science,22,Good,No,Medium,0,5
Company22,Success,2005,9,242,Social Business Analytics,,Social Media,Alta Ventures Mexico,,Yes,3/13/2013,1500000,United States,North America,0,2,0,26,medium,Yes,Yes,Yes,Both,Public,Global,Yes,High,Masters,21,MBA,14,Bad,Yes,High,0,1.5
Company23,Success,2012,2,245,Marketing intelligence solutions,Analytics,Marketing,Accel Partners|Lightspeed Venture Partners|Elad Gil|Jafco Ventures,32,Yes,1/29/2014,15000000,United States,North America,0,3,8,33,high,Yes,No,No,Service,Private,Global,No,High,Masters,21,Computer Science,17,Bad,Yes,High,0,15
Company24,Success,2009,5,,,,targeted marketing,,,Yes,,,,,6,2,6,22,medium,Yes,No,Yes,Service,Both,Global,No,High,Masters,21,Master of Arts,30,Bad,Yes,Medium,0,5.2
Company25,Success,2012,2,373,Smart Data for Better Places,Mobile|Retail,Community Betterment,TechStars|MI Ventures LLC|NEA Venture Capital|TriplePoint Capital|Kima Ventures|Correlation Ventures|Scrum Ventures,3,Yes,11/01/2013,1700000,United States,North America,1,2,0,3,medium,Yes,No,No,Service,Public,Local,Yes,High,PhD,25,Image Processing,40,Bad,No,High,5,1.7
Company26,Success,2011,3,61,White Label Web Analytics,Analytics,Web Analytics,Bogusia Riebandt|Peter Emonds|A Squared Capital Partners,5,Yes,08/01/2011,250000,United States,North America,3,2,1,5,Nothing,Yes,No,No,Service,Private,Global,No,High,Masters,21,Electrical Engineering,14,Bad,No,No Info,3,0.25
Company27,Success,2009,5,155,Investing tools made simple,Analytics|Finance,Strategy,Long Light Capital|Continuity Capital,5,Yes,12/12/2013,1400000,United States,North America,0,3,0,6,low,No,Yes,No,Service,Private,Global,No,Medium,Bachelors,18,Arts,0,Good,Yes,High,0,1.4
Company28,Success,2013,1,43,Semantic Automation and Storytelling,,Social Media,Windforce Ventures|Comcast Ventures|Samsung Ventures|ENIAC Ventures|WoodGen LLC|DreamIt Ventures,,No,07/01/2013,1100000,United States,North America,6,1,0,5,Nothing,No,No,No,Service,Private,Global,Yes,Low,PhD,25,Law,32,Bad,No,Medium,0,1.1
Company29,Success,2007,7,11,Real-time in-store analytics,Analytics,Strategy,StarVest Partners|August Capital|Nokia Growth Partners|Commerce Ventures,,yes,4/30/2013,15000000,United States,North America,0,2,8,110,high,No,No,No,Service,Private,Local,Yes,High,Bachelors,18,Arts,18,Good,Yes,High,0,15
Company30,Success,2012,2,281,Real-time error tracking,Software Development,Bug fix,Resolute.vc|Hiten Shah|Arjun Sethi|Founders Den,3,No,04/01/2013,200000,United States,North America,3,2,0,3,medium,No,No,No,Service,Private,Global,No,Medium,Bachelors,18,"Management, Computer Science",17,Bad,No,No Info,5,0.2
Company31,Success,2012,2,421,web analytics api,Marketing|Software Development|Analytics,Data Integration,New Enterprise Associates|General Catalyst Partners|Y Combinator|Tom McInerney,7,No,1/15/2013,600000,United States,North America,2,4,0,50,medium,No,No,No,Service,Private,Global,No,Low,Bachelors,18,Aerospace Engineering,13,Good,No,High,0,0.6
Company32,Success,2008,6,-91,Business Logic Abuse Fraud Protection ,Security,malware protection,Leapfrog Ventures|Seraph Group|Startup Capital Ventures|Andreessen Horowitz|Citi Ventures,39,No,9/22/2011,,United States,North America,0,2,0,35,Nothing,No,No,No,Service,Private,Local,Yes,High,PhD,25,Computer Science,16,Good,Yes,High,0,unknown amount
Company33,Success,2010,4,983,Social Media Analytics and Reporting,Analytics,Analytics,MHS Capital|Social Leverage|Vast Ventures|Bessemer Venture Partners|Founder's Co-op|Mark Sugarman|Trinity Ventures,115,yes,3/18/2014,20000000,United States,North America,2,3,2,132,high,No,No,No,Product,Both,Global,No,Medium,Bachelors,18,Economics,31,Good,Yes,High,0,20
Company34,Success,2011,3,68,Social Media ROI Measurment,Advertising,Social Media optimization,Vaidya Capital Partners|[212]Media,9,yes,01/01/2013,2000000,United States,North America,No Info,3,0,8,Nothing,No,No,No,Service,Both,Global,Yes,Medium,Bachelors,18,FALSE,14,Bad,No,No Info,0,2
Company35,Success,2010,4,,,,Analytics,,,No,,,,,0,1,0,12,Nothing,Yes,No,Yes,Product,Private,Global,Yes,High,Bachelors,18,"Arts, Economics",28,Bad,No,No Info,0,1
Company36,Success,2012,2,75,,Marketing|Email,Marketing,Grotech Ventures|Access Venture Partners|FFP Holdings|TechStars,14,yes,5/24/2013,2870890,United States,North America,0,2,6,13,medium,No,No,No,Service,Public,Global,Yes,High,Bachelors,18,Arts,45,Good,Yes,High,0,2.87089
Company37,Success,2012,2,140,Secure NoSQL Database,Analytics|Security|Network / Hosting / Infrastructure,Database Management,Matrix Partners|Atlas Venture,26,yes,10/21/2013,5200000,United States,North America,0,4,4,30,high,No,No,No,Service,Private,Global,No,High,Bachelors,18,bseet,21,No Info,No,No Info,0,5.2
Company38,Success,2012,2,46,SaaS Job Marketing Platform,Human Resources (HR)|Marketing|Career / Job Search,operations,TechColumbus|Founders Factory,6,Yes,08/07/2012,70000,United States,North America,4,2,3,4,low,Yes,No,No,Product,Private,global,No,Medium,Masters,21,Business management,19,No Info,No,High,0,0.07
Company39,Success,2010,4,33,Health Care Analytics,Cloud Computing|Healthcare|E-Commerce,technology,Allan Zeise|Thomas Shannon|Allen Zeise|Wisconsin Investment Partners|Silicon Pastures|Thomas Vincent|Ross Bjella|David Lisle|Ed Karrels|Jeff Harris|Tom DeMell|Thomas DeMell|Jeffery Harris|Michael Kluiber|Peter Skanaivs|Andy Wojack|Crista Wojack|Eric Kessenich|John Schmidt|Angels on the Water,13,yes,3/29/2013,1000000,United States,North America,24,2,0,10,low,No,No,No,Service,Private,local,No,High,Bachelors,18,arts,13,No Info,No,Low,3,1
Company40,Success,2010,4,56,Shaking Up Publishing,Media|Analytics|Publishing|Mobile|Education,Analytics,EA Media Syndicate I LLC|Glen Surnamer|Jeff Schweiger,7,No,10/23/2012,450000,United States,North America,3,5,0,10,medium,No,No,No,Service,Public,Global,No,Medium,Bachelors,18,electrical,13,Average,No,Low,3,0.45
Company41,Success,2012,2,89,energy efficiency data platform,E-Commerce|Energy|Media,Marketing,Matthias Kurwig|Don Epperson,6,No,06/01/2013,,United States,North America,2,2,1,7,medium,No,No,No,Service,Private,Local,Yes,High,Masters,21,management,15,Bad,Yes,Low,5,unknown amount
Company42,Success,2009,5,69,Real-time Media Analytics,Media|Analytics,Operations,TechStars|Mercury Fund,3,No,01/01/2012,,United States,North America,2,2,9,13,medium,Yes,No,Yes,Product,Private,Local,Yes,High,Bachelors,18,media design,15,Very Good,No,No Info,5,unknown amount
Company43,Success,2011,3,374,Global multimedia content platform,,Operations,Amit Singh,57,Yes,08/01/2010,60000,United States,North America,1,0,8,57,medium,No,No,No,Service,Public,Global,Yes,High,Masters,21,"finance, startegy and enterpreneurship",25,Very Good,No,No Info,3,0.06
Company44,Success,2008,6,40,Smart Suggestions for Sales Reps,,Sales,Starfish Ventures,12,Yes,07/08/2013,2517424,United States,North America,0,3,0,50,low,No,No,Yes,Product,Private,global,No,High,Masters,21,Business management,25,No Info,Yes,Low,0,2.517424
Company45,Success,2012,2,,,,Analytics,,,yes,,,,,5,2,3,200,low,Yes,No,Yes,Product,Public,Local,No,High,Masters,21,Business management,20,Bad,No,No Info,3,14
Company46,Success,2010,4,-24,,,technology,Sierra Ventures|AME Cloud Ventures|Columbus Nova Technology Partners|Streamlined Ventures,25,yes,7/30/2013,1750000,United States,North America,0,4,10,23,Nothing,Yes,No,No,Product,Private,global,No,High,PhD,25,engg,12,No Info,No,Low,0,1.75
Company47,Success,2011,3,295,,Analytics|Enterprise Software,technology,Defense Advanced Research Projects Agency,35,yes,02/05/2013,3000000,United States,North America,0,2,2,32,high,No,No,No,Product,Private,global,No,High,PhD,25,bio engg,25,No Info,No,High,0,3
Company48,Success,2003,11,111,"Analytics, e-commerce, Consumer Finance",,Risk,Crystal Financial|Crosslink Capital|QED Investors,267,yes,7/29/2013,30000000,United States,North America,No Info,2,13,300,low,Yes,No,No,Product,Private,global,No,High,Bachelors,18,Business management,25,Good,No,Medium,0,30
Company49,Success,2000,14,160,"Predictive Analytics, Advanced Analytics",Analytics,operations,TA Associates,594,yes,6/24/2013,25000000,United States,North America,No Info,2,0,616,high,No,No,No,Service,Private,global,No,High,Bachelors,18,Business management,51.5,Bad,Yes,High,0,25
Company50,Failed,No Info,No Info,0,,,Marketing,Draper Fisher Jurvetson (DFJ)|DFJ Gotham Ventures|Acadia Woods Partners|Ron Conway,,No,11/01/2006,11000000,United States,North America,0,2,0,7,low,Yes,No,No,Product,Private,Local,Yes,High,Bachelors,18,"ECONOMICS,COMPUTERS",32,Bad,No,No Info,3,11
Company51,Success,2011,3,805,Connected data for marketers & ecommerce,E-Commerce|Analytics,"Marketing, Web Analytics",Battery Ventures|Wellington Partners|General Catalyst Partners|Silicon Valley Bank,23,yes,12/03/2013,4000000,United States,North America,0,2,1,28,high,Yes,No,No,Service,Both,Global,No,High,Bachelors,18,,25,No Info,No,High,0,4
Company52,Success,2009,5,-129,Customer Data-Powered Marketing,E-Commerce|Advertising|Analytics,Marketing,SV Angel|Harrison Metal Capital|Baseline Ventures|Greylock Partners|Dick Costolo|Reid Hoffman|Jeff Jordan|Harrison Metal|Bain Capital Ventures,50,yes,6/13/2011,13000000,United States,North America,0,2,2,55,medium,Yes,No,No,Both,Private,Global,Yes,High,Bachelors,18,economics,14,No Info,No,High,0,13
Company53,Success,2009,5,416,,Enterprise Software,"Strategy, Operations, Finacial Planning",Greylock Partners|Andreessen Horowitz|Redpoint Ventures|Tenaya Capital,,yes,12/27/2013,1070901,United States,North America,0,3,5,115,high,No,Yes,No,Both,Private,Global,Yes,High,Masters,21,Computer Science,44,No Info,Yes,High,0,1.070901
Company54,Success,2007,7,,,,Strategy,,,yes,,,,,0,4,3,70,Nothing,No,No,No,Service,Private,Global,Yes,High,Masters,21,MBA,26,No Info,Yes,High,3,15
Company55,Success,2012,2,888,Enterprise Marketing Intelligence,,Marketing,Sean Glass|Hemang Gadhia|Adam Riggs|Roger Krakoff|Tony Ayaz|Marc Solomon|Acceleprise Ventures|Andy Klingenstein|Adam Falla|Bowery Capital|New Enterprise Associates,38,yes,02/04/2014,6500000,United States,North America,10,1,3,40,high,No,No,No,Service,Both,Global,No,Medium,Bachelors,18,Political Science,0,No Info,Yes,High,0,6.5
Company56,Success,2011,3,524,,Cloud Computing,Data Collection,,,yes,,,,,3,2,2,30,medium,No,No,No,Service,Private,Global,No,High,Bachelors,18,Arts,22,No Info,Yes,High,0,5
Company57,Success,2008,6,16,Local Advertising,Advertising|Marketing|Analytics,marketiing,Stage One Capital,,No,04/01/2010,,United States,North America,0,2,2,5,medium,No,No,Yes,Product,no,local,No,High,Masters,21,bussiness,25,No Info,No,High,0,unknown amount
Company58,Success,2012,2,272,Know and Grow Your Audience,Analytics|Advertising|Cloud Computing|Marketing,marketing,Square 1 Bank|High Line Venture Partners|SV Angel|Allen Debevoise|Matt Coffin|Paul Bricault|Jonah Goodhart|Dean Gilbert|Tony Nethercutt|FirstMark Capital|Ben Ling|Lerer Ventures,24,No,6/25/2013,1000000,United States,North America,1,2,2,15,medium,Yes,No,Yes,Product,Both,global,No,High,Masters,21,general mangement,25,No Info,No,Medium,0,1
Company59,Success,2012,2,,,,analytics,,,No,,,,,0,2,0,50,medium,Yes,No,Yes,No Info,Both,local,No,High,Masters,21,bussiness,15,No Info,No,No Info,0,2.5
Company60,Success,2012,2,124,Software-as-a-Service (SaaS) platform,Analytics|Network / Hosting / Infrastructure,analytics,CIT GAP Funds|Jaffray Woodriff|Battery Ventures,13,No,08/07/2013,2000000,United States,North America,2,2,0,14,high,No,No,Yes,Product,no,local,No,High,Bachelors,18,computer science,17,No Info,No,High,0,2
Company61,Success,2009,5,409,The ﬁnancial terminal of the web.,Finance,analytics,Hyde Park Angels|I2A Fund|Amicus Capital|Social Leverage|Morningstar|Reed Elsevier Ventures,22,yes,05/09/2013,3900000,United States,North America,0,2,0,50,medium,No,No,Yes,Product,Both,global,No,High,Bachelors,18,science,20,No Info,No,Low,0,3.9
Company62,Success,2012,2,51,Data visualization system,Mobile|Analytics,analytics,Razor's Edge Ventures|CIT GAP Funds|B7inc|B7inc Peter Thorp|Columbus Nova Technology Partners|Hemang Gadhia|Center for Innovative Technology|Sean Glass|Jay Virdy|Magid Abraham|Tony Ayaz|Neil Kataria|Terry Hsiao|Chris McGill|Russ Cosentino|Peter Thorp,,yes,07/10/2013,4100000,United States,North America,10,2,1,18,low,Yes,No,Yes,Service,Both,global,No,High,Masters,21,sb,25,No Info,No,Low,0,4.1
Company63,Success,2012,2,388,,E-Commerce|Marketing,sales,,17,No,07/03/2013,750000,India,Asia,0,2,1,18,low,No,No,Yes,Service,no,local,No,Medium,Bachelors,18,economics,20,No Info,No,Medium,0,0.75
Company64,Success,2012,2,315,Interactive & adaptive language learning,Education|E-Commerce|Mobile,e-learning,Kae Capital|500 Startups,3,No,03/01/2013,,India,Asia,1,2,0,4,high,Yes,No,Yes,Product,no,global,No,Medium,Bachelors,18,computer science,19,No Info,No,No Info,0,unknown amount
Company65,Success,2012,2,,,,sales,,,No,,,,,1,2,0,17,low,No,No,Yes,Product,no,local,No,Medium,Bachelors,18,mca,6,No Info,No,No Info,2,unknown amount
Company66,Success,2007,7,,,,software service,,,yes,,,,,0,2,0,488,low,Yes,No,Yes,Service,no,global,No,High,Bachelors,18,engg,25,No Info,No,High,0,15
Company67,Success,2009,5,157,Mobile shopping lead generator,E-Commerce|Retail|Marketing|Mobile|Advertising|Deals,mobile app,Cervin Ventures|Inventus Capital Partners|TiE Silicon Valley Angels|Foundation Capital,43,yes,06/07/2013,,United States,North America,0,4,1,39,low,Yes,No,Yes,Service,no,global,No,High,Bachelors,18,technology,25,No Info,Yes,High,0,unknown amount
Company68,Success,2012,2,133,Consumer Data Made Easy by App,Analytics|Market Research|Mobile,application,Blume Ventures|Narayanan Shadagopan|Palaash Ventures|Sachin Bhatia,,No,8/26/2013,,India,Asia,0,2,0,5,Nothing,Yes,No,Yes,Service,no,local,No,Medium,Masters,21,management,0,No Info,No,No Info,0,unknown amount
Company69,Success,2013,1,408,Mobile Advertising Technology ,Advertising|Mobile|Analytics,technology,Infipro Inc,,No,03/01/2014,62000,Azerbaijan,Europe,1,2,0,6,low,Yes,No,Yes,Product,no,global,No,Medium,Bachelors,18,management,25,No Info,No,No Info,0,0.062
Company70,Success,2011,3,239,Socset is a web-based analytical tool,Analytics,analytic,CRDF Global|Azercell,,No,12/13/2013,10000,Azerbaijan,Europe,2,4,0,4,low,Yes,No,Yes,Product,Both,global,No,High,Bachelors,18,history,25,No Info,No,Medium,0,0.01
Company71,Success,2009,5,43,Streaming Media Analytics,Media|Analytics|Entertainment,analytic,Active Up|GUESS|Audilion|Jean-Luc Halleux|Dany Donnen|StartupInvest,6,No,10/15/2009,425000,Belgium,Europe,0,3,0,10,medium,Yes,No,Yes,Service,no,global,No,High,Masters,21,computer science,18,No Info,Yes,Low,2,0.425
Company72,Success,2011,3,8,In-store analytics,Analytics|Retail|Mobile,analytic,,,No,08/01/2011,125000,Belgium,Europe,1,0,0,6,high,No,No,Yes,Product,Both,global,No,High,Masters,21,management,25,No Info,No,High,0,0.125
Company73,Success,2012,2,217,Online statistical analysis,Analytics|Cloud Computing,analytic,LAUNCHub|Launch Hub,2,No,09/01/2013,30000,Bulgaria,Europe,0,3,0,3,medium,No,No,Yes,Product,Both,global,No,Medium,Masters,21,management,25,No Info,No,Low,0,0.03
Company74,Success,2010,4,64,Beautiful custom infographics,Analytics,software ,Eleven,,No,08/01/2013,25000,Bulgaria,Europe,2,2,0,4,Nothing,No,No,Yes,Product,no,global,No,Medium,Masters,21,management,18,No Info,No,No Info,0,0.025
Company75,Success,2013,1,181,Software Company,Transportation|Analytics,software ,LAUNCHub|Launch Hub,9,No,8/30/2013,135000,Bulgaria,Europe,2,2,0,10,low,Yes,No,Yes,Service,Both,local,No,High,Masters,21,management,25,No Info,Yes,Low,4,0.135
Company76,Success,2012,2,-34,,Analytics|Publishing|Mobile,software ,,7,No,08/09/2012,110000,Czech Republic,Europe,0,2,0,5,low,Yes,No,Yes,Product,no,local,No,Medium,Masters,21,management,19,No Info,No,Low,0,0.11
Company77,Success,2012,2,14,Mobile Audience Targeting,Analytics|Mobile,technology,Frühphasenfonds Brandenburg|Berlin Ventures,13,yes,05/01/2013,,Germany,Europe,2,2,0,50,medium,Yes,No,Yes,Service,Public,local,No,Medium,Bachelors,18,DSIGN,18,No Info,No,No Info,3,unknown amount
Company78,Success,2012,2,398,Standard for reputation,Human Resources (HR)|Enterprise Software|Career / Job Search|Social Networking|Analytics,SOCIAL MEDIA,500 Startups|Seedcamp,11,No,,,Spain,Europe,0,4,0,10,medium,No,No,Yes,Service,Public,GLOBAL,Yes,Medium,Masters,21,MGMT,14,No Info,No,Low,4,No Info
Company79,Success,2010,4,372,Easy and Powerful Marketing Solutions ,Analytics|Marketing,SOCIAL MEDIA management,Boulas Ventures|Seed4Soft|Seventure Partners,41,No,05/03/2011,1300000,France,Europe,3,3,0,50,high,Yes,No,No,Service,Public,GLOBAL,Yes,Medium,PhD,25,MARKTING AND COMMUNICATON,19,No Info,Yes,No Info,0,1.3
Company80,Success,2010,4,-8,confidential data analysis in a click,Analytics,OPERATIONS,,,No Info,,,France,Europe,0,3,1,No Info,low,No,No,Yes,Product,Both,global,Yes,High,PhD,25,TECH,6,No Info,No,Low,0,No Info
Company81,Success,2010,4,263,big data predictive analytics solution,Analytics|Marketing,MARKETING,Elaia Partners|Isai,18,YES,11/12/2013,1900000,France,Europe,2,2,0,50,low,Yes,Yes,Yes,Service,Public,GLOBAL,Yes,High,PhD,25,maths,5,No Info,No,Low,33,1.9
Company82,Success,2012,2,1,,Analytics,PERSONAL APPS,,,Yes,,,United Kingdom,Europe,0,2,0,10,low,Yes,No,Yes,Product,Private,GLOBAL,Yes,High,Bachelors,18,PHD,10,No Info,No,Low,20,No Info
Company83,Success,2011,3,42,Personalised recommendations technology,E-Commerce|Analytics,consumer behaviour,m8 Capital|Playfair Capital|Innovation Warehouse,11,No,06/03/2010,800000,United Kingdom,Europe,0,5,2,50,low,No,No,No,Service,Public,global,Yes,High,Masters,21,MBA,44,No Info,No,No Info,25,0.8
Company84,Success,2011,3,138,The Social Media Customer Care Tool,Media|Marketing|Analytics,customer servce,Capital Spreads|Rockaway Capital,14,YES,2/19/2014,1000000,United Kingdom,Europe,2,2,0,50,high,Yes,Yes,No,Service,Public,global,Yes,Medium,Bachelors,18,MGMT,27,No Info,No,No Info,0,1
Company85,Success,2011,3,401,Advanced Twitter Management,Analytics|Marketing,CUSTOMER SERVICE,Stephen Bullock|Chris Underhill|Scottish Equity Partners|Seedcamp|Innovation Warehouse,18,YES,06/06/2013,1800000,United Kingdom,Europe,2,4,0,10,medium,No,Yes,Yes,Service,Public,GLOBAL,Yes,High,Masters,21,MGMT,24,No Info,No,No Info,2,1.8
